"","X_sim","Vol_true","VaR_1%_true","VaR_5%_true"
"t=45",6.17325292763083,3.09094243244604,7.19060735650347,5.08414787070707
"t=46",-3.64507054152846,3.49460765843269,8.12967309680173,5.7481180817454
"t=47",-2.20224739608074,2.89151688121335,6.72667414936389,4.75612202945519
"t=48",-1.98376732390674,2.49839180240167,5.81212845803818,4.10948881772621
"t=49",-2.7319774439875,2.37570012676972,5.5267049392693,3.90767897006625
"t=50",-3.23676831860191,2.5450175778055,5.9205962315244,4.18618139350863
"t=51",0.152208756200255,2.69698734624607,6.27413077925461,4.43614941831508
"t=52",-0.755647450165512,2.03702853816756,4.73883700912663,3.35061377920857
"t=53",1.20032943488184,1.96966732167484,4.58213138634598,3.23981443794466
"t=54",-3.14777806292471,2.06272210500382,4.79860918371269,3.39287593580851
"t=55",-1.47882311726557,2.64229336959521,6.14689356295003,4.34618583244851
"t=56",4.41066305923541,2.29127006344405,5.33029124094649,3.76880387418128
"t=57",0.746348815558459,3.04474727004515,7.0831413386612,5.00816359028437
"t=58",0.313640401006818,2.24157264159102,5.21467774927337,3.68705888959617
"t=59",-1.48521805324264,1.93166029012048,4.49371380929089,3.1772984342428
"t=60",1.48401068658699,2.1299557704461,4.9550180783783,3.50346547426448
"t=61",1.00079408756209,2.17526962104446,5.0604338583824,3.57800012577233
"t=62",2.76787161134016,2.06764329310663,4.81005757919342,3.40097056990833
"t=63",2.58666872980423,2.52377972848868,5.87118960591702,4.15124824003121
"t=64",2.94384732187572,2.52707263675254,5.87885005605605,4.15666459213223
"t=65",-2.38738672262512,2.61845504069357,6.09143731718901,4.30697527069418
"t=66",-0.69938921860474,2.4930357207066,5.79966834877367,4.10067884732383
"t=67",-3.42495409217577,2.08770130938273,4.8567195027148,3.43396307072952
"t=68",-1.84911309786487,2.73215013508696,6.35593165831995,4.49398705907374
"t=69",2.88018538320811,2.39112474101669,5.56258795783064,3.9330502027547
"t=70",-0.704626306806549,2.58665959263062,6.01747004418359,4.2546764126273
"t=71",0.391528572837833,2.11441407215423,4.91886268159803,3.47790165546012
"t=72",-1.5727098571147,1.90852893367883,4.43990222740918,3.13925073870345
"t=73",2.26694273207291,2.14915062195714,4.99967198038355,3.53503819539122
"t=74",2.32950218653672,2.38753179789474,5.55422952223734,3.92714033722913
"t=75",-0.0174105066601562,2.44136323544814,5.67946017254626,4.01568517253286
"t=76",2.17243959544526,1.93350489091906,4.49800499243713,3.18033253255663
"t=77",-0.356769812762226,2.32834238594338,5.41653435957855,3.82978241830381
"t=78",1.17612181603975,1.96776576973165,4.57770771502555,3.23668666333405
"t=79",0.899344822679665,2.0558962236554,4.78272980914933,3.38164836011542
"t=80",1.67369535950981,2.01008148199389,4.67614878228536,3.30628981612565
"t=81",0.282806485649716,2.19890957481015,5.11542861456763,3.61688438946479
"t=82",0.354382753957258,1.91145844203376,4.44671728294265,3.14406935114624
"t=83",0.678931531393607,1.83313067821474,4.26449965610391,3.01523164473753
"t=84",-1.58429582784525,1.88802398319143,4.3922005794355,3.10552309652379
"t=85",0.874460867793158,2.14797048962426,4.99692658203986,3.53309705044319
"t=86",2.40190433922363,2.03016243083878,4.72286405493939,3.33932003766579
"t=87",1.68206007397167,2.40982117169397,5.60608235958888,3.96380309456528
"t=88",-0.857823464627376,2.28610703123035,5.31828023193255,3.76031144191851
"t=89",0.78307182470956,2.06489078491568,4.80365428761512,3.39644309682724
"t=90",1.47270314541818,1.98450138857488,4.61664058634226,3.26421430668762
"t=91",1.71057685545093,2.1387071792938,4.97537689974601,3.51786026084856
"t=92",-2.67253866914479,2.23572153710468,5.2010660447908,3.67743467916016
"t=93",0.351921779613073,2.51230252208048,5.84448963118936,4.1323699154434
"t=94",0.365109693295721,2.02188162151934,4.70360001178376,3.32569931842261
"t=95",-0.458284086063225,1.8725199307959,4.35613276010615,3.08002119970856
